Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34267126,Gusto,Giorgio Agamben,"Agamben, Giorgio",Rodrigo Molina-Zavalía,"=""9873793860""","=""9789873793868""",4,3.73,Adriana Hidalgo editora,Paperback,80,2016,1979,2021/08/20,2021/08/20,físicos,físicos (#104),read,,,,1,0
6109704,"Prospero Burns (The Horus Heresy, #15)",Dan Abnett,"Abnett, Dan",,"=""1844167763""","=""9781844167760""",0,4.12,Black Library,Paperback,444,2011,2010,,2021/08/13,to-read,to-read (#273),to-read,,,,0,0
6057020,"Tales of Heresy (The Horus Heresy, #10)",Nick Kyme,"Kyme, Nick","Lindsey Priestley, Dan Abnett, Mike  Lee, Anthony Reynolds, James Swallow, Gav Thorpe, Graham McNeill, Matthew Farrer","=""1844166821""","=""9781844166824""",4,3.80,Games Workshop,Mass Market Paperback,416,2009,2009,2021/08/12,2021/04/05,,,read,,,,1,0
1994270,La dominación masculina,Pierre Bourdieu,"Bourdieu, Pierre",Joaquim Jordà,"=""8433905899""","=""9788433905895""",5,3.96,Editorial Anagrama,Paperback,168,2006,1998,2021/08/11,2021/07/18,físicos,físicos (#99),read,,,,1,0
48564312,Diario de Moscú,Walter Benjamin,"Benjamin, Walter",,"=""""","=""""",4,3.96,Godot,Paperback,194,2019,1980,2021/08/01,2021/07/18,físicos,físicos (#98),read,,,,1,0
55030898,Amanda Labarca: Una antología feminista,Vicerrectoría de Extensión y Comunicaciones Universidad de Chile,"Chile, Vicerrectoría de Extensión y Comunicaciones Universidad de",,"=""""","=""""",0,3.75,Editorial Universitaria,Unknown Binding,544,2019,,,2021/07/19,to-read,to-read (#272),to-read,,,,0,0
45169807,Ideología,Terry Eagleton,"Eagleton, Terry",Jorge Vigil Rubio,"=""8449335442""","=""9788449335440""",5,4.06,Paidós,Hardcover,344,2019,1988,2021/07/17,2018/07/07,físicos,físicos (#90),read,,,,1,1
58565128,Elena Caffarena Morice: Una ‘grande de Chile’ que vuelve a los 17 después de vivir un siglo,Ximena Jiles Moreno,"Moreno, Ximena Jiles",,"=""9563033906""","=""9789563033908""",3,3.20,Editorial USACH,Paperback,114,2019,,2021/07/16,2021/07/15,físicos,físicos (#97),read,,,,1,0
36257102,Disensos feministas,Alejandra Castillo,"Castillo, Alejandra",,"=""9568438467""","=""9789568438463""",4,3.88,Palinodia,Paperback,137,2016,2016,2021/07/13,2020/05/27,físicos,físicos (#96),read,,,,1,0
6465063,"A Thousand Sons (The Horus Heresy, #12)",Graham McNeill,"McNeill, Graham",,"=""1844168085""","=""9781844168088""",4,4.27,The Black Library,Paperback,558,2010,2010,2021/07/12,2021/04/05,,,read,"Un capítulo trágico y francamente desesperante en la Herejía. Me costó leerlo desde la mitad en adelante porque me negaba a que la la legión que te hicieron querer tanto tuviera que enfrentar ese destino. El libro produce muchas emociones, desde ponerte del lado de los Mil Hijos, indignarte con las motivaciones de otras legiones, hasta el final apocalíptico pero con un componente de redención, pero para mi la escena clave, y que me quedó grabada por su emocionalidad, fue cuando Magnus resuelve que debe alertar acerca la traición de Horus… y pasa lo que pasa. En resumen, muy largo para mi gusto, se demoraron mucho en convencerte de los poderes psíquicos de la legión, pero eso se compensa con muchos escenarios y pocas interrupciones bélicas.",,,1,0
